Scenario,Category,Sensors,Vessels,SampleRate_Hz,Duration_s,Features,Truth_Disturbance,Data_Kind
S01,Benign,5,0,10.0,5.0,7,False,SYNTHETIC
S02,Benign,1,0,10.0,5.0,7,True,SYNTHETIC
S03,Benign,1,1,10.0,5.0,7,False,SYNTHETIC
S04,Disturbance,5,1,10.0,5.0,7,True,SYNTHETIC
S05,Environmental,1,0,10.0,5.0,7,True,SYNTHETIC
S06,Benign,1,0,10.0,5.0,7,True,SYNTHETIC
S07,Disturbance,5,1,10.0,5.0,7,True,SYNTHETIC
S08,Disturbance,1,1,10.0,5.0,7,True,SYNTHETIC
S09,Benign,1,0,10.0,5.0,7,True,SYNTHETIC
S10,Benign,1,0,10.0,5.0,7,True,SYNTHETIC
S11,Disturbance,1,1,10.0,5.0,7,True,SYNTHETIC
S12,Disturbance,1,1,10.0,5.0,7,True,SYNTHETIC
S13,Disturbance,1,1,10.0,5.0,7,True,SYNTHETIC
S14,Disturbance,1,1,10.0,5.0,7,True,SYNTHETIC
S15,Disturbance,1,1,10.0,5.0,7,True,SYNTHETIC
S16,Disturbance,1,1,10.0,5.0,7,True,SYNTHETIC
S17,Disturbance,1,1,10.0,5.0,7,True,SYNTHETIC
S18,Disturbance,1,1,10.0,5.0,7,True,SYNTHETIC
S19,Disturbance,1,1,10.0,5.0,7,True,SYNTHETIC
S20,Disturbance,1,1,10.0,5.0,7,True,SYNTHETIC
S21,Disturbance,1,1,10.0,5.0,7,True,SYNTHETIC
S22,Disturbance,1,2,10.0,5.0,7,True,SYNTHETIC
