type,level,f1,TX_rate,mean_uncertainty
noise,0.0,1.0,0.0,0.14552097509805131
noise,0.05,1.0,0.0,0.14552097509805131
noise,0.1,1.0,0.0,0.14552097509805131
noise,0.2,1.0,0.0,0.14552097509805131
noise,0.3,1.0,0.0,0.14552097509805131
noise,0.5,1.0,0.0,0.14552097509805131
packet_loss,0.0,1.0,0.0,0.14552097509805131
packet_loss,0.05,1.0,0.0,0.1416826374373145
packet_loss,0.1,1.0,0.0,0.14251521958163604
packet_loss,0.2,1.0,0.0,0.15790468983107803
packet_loss,0.3,1.0,0.0,0.1829852704167079
packet_loss,0.5,0.0,1.0,0.25311927458122996
packet_loss,0.7,0.0,1.0,0.3123771030466287
