Scenario,Trials,Accuracy,Mean_Uncertainty,T0_count,T1_count,T2_count,T3_count,TX_count
S01,2,1.0,0.375,2,0,0,0,0
S02,2,1.0,0.4833,0,2,0,0,0
S03,2,1.0,0.1455,2,0,0,0,0
S04,2,1.0,0.1455,0,0,2,0,0
S05,2,1.0,0.4833,2,0,0,0,0
S06,2,1.0,0.375,2,0,0,0,0
S07,2,0.0,0.3955,0,0,0,0,2
S08,2,0.0,0.3955,0,0,0,0,2
S09,2,1.0,0.4833,0,2,0,0,0
S10,2,1.0,0.5306,0,2,0,0,0
S11,2,0.0,0.2749,0,2,0,0,0
S12,2,0.0,0.2289,0,2,0,0,0
S13,2,0.0,0.1455,2,0,0,0,0
S14,2,0.0,0.2749,0,2,0,0,0
S15,2,0.0,0.2489,0,0,0,0,2
S16,2,0.0,0.4833,0,2,0,0,0
S17,2,0.0,0.2749,0,2,0,0,0
S18,2,0.0,0.4833,0,2,0,0,0
S19,2,0.0,0.2289,0,2,0,0,0
S20,2,0.0,0.2749,0,2,0,0,0
S21,2,0.0,0.3583,0,2,0,0,0
S22,2,1.0,0.1455,0,0,2,0,0
