Attack_Family,Severity,AER,TX_Rate,Escalated_T2_T3,Mean_Uncertainty
ais_spoofing,0.0,0.0000,0.0000,1.0000,0.1455
ais_spoofing,0.2,0.0000,0.0000,0.0000,0.2749
ais_spoofing,0.4,0.0000,0.0000,0.0000,0.2749
ais_spoofing,0.6,0.0000,0.0000,0.0000,0.2749
ais_spoofing,0.8,0.0000,0.0000,0.0000,0.2749
ais_spoofing,1.0,0.0000,0.0000,0.0000,0.2749
transponder_suppression,0.0,0.0000,0.0000,1.0000,0.1455
transponder_suppression,0.2,0.0000,0.0000,0.0000,0.4833
transponder_suppression,0.4,0.0000,0.0000,0.0000,0.4833
transponder_suppression,0.6,0.0000,0.0000,0.0000,0.4833
transponder_suppression,0.8,0.0000,0.0000,0.0000,0.4833
transponder_suppression,1.0,0.0000,0.0000,0.0000,0.4833
timestamp_manipulation,0.0,0.0000,0.0000,1.0000,0.1455
timestamp_manipulation,0.2,0.0000,0.0000,1.0000,0.1789
timestamp_manipulation,0.4,0.0000,0.0000,0.0000,0.2122
timestamp_manipulation,0.6,0.0000,0.0000,0.0000,0.2289
timestamp_manipulation,0.8,0.0000,0.0000,0.0000,0.2289
timestamp_manipulation,1.0,0.0000,0.0000,0.0000,0.2289
spatial_manipulation,0.0,0.0000,0.0000,1.0000,0.1455
spatial_manipulation,0.2,0.0000,0.0000,0.0000,0.2150
spatial_manipulation,0.4,0.0000,0.0000,0.0000,0.2749
spatial_manipulation,0.6,0.0000,0.0000,0.0000,0.2749
spatial_manipulation,0.8,0.0000,0.0000,0.0000,0.2749
spatial_manipulation,1.0,0.0000,0.0000,0.0000,0.2749
combined_evasion,0.0,0.0000,0.0000,1.0000,0.1455
combined_evasion,0.2,0.0000,0.0000,0.0000,0.2107
combined_evasion,0.4,0.0000,0.0000,0.0000,0.2701
combined_evasion,0.6,0.0000,0.0000,0.0000,0.3245
combined_evasion,0.8,0.0000,0.0000,0.0000,0.3517
combined_evasion,1.0,0.0000,0.0000,0.0000,0.3583
